# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	2970183	123	+							CSAC_RS14125	216		
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	2970183	123	+	WP_049754855.1	WP_049754855.1		hypothetical protein			CSAC_RS14125	216	71	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	642	2006	+					dnaA		CSAC_RS00005	1365		old_locus_tag=Csac_0001
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	642	2006	+	WP_011915633.1	WP_011915633.1		chromosomal replication initiator protein DnaA	dnaA		CSAC_RS00005	1365	454	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	2227	3330	+					dnaN		CSAC_RS00010	1104		old_locus_tag=Csac_0002
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	2227	3330	+	WP_011915634.1	WP_011915634.1		DNA polymerase III subunit beta	dnaN		CSAC_RS00010	1104	367	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	3358	4407	+							CSAC_RS00015	1050		old_locus_tag=Csac_0003
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	3358	4407	+	WP_011915635.1	WP_011915635.1		DNA replication/repair protein RecF			CSAC_RS00015	1050	349	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	4443	4727	+							CSAC_RS00020	285		old_locus_tag=Csac_0004
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	4443	4727	+	WP_011915636.1	WP_011915636.1		DUF370 domain-containing protein			CSAC_RS00020	285	94	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	4772	6691	+					gyrB		CSAC_RS00025	1920		old_locus_tag=Csac_0005
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	4772	6691	+	WP_011915637.1	WP_011915637.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		CSAC_RS00025	1920	639	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	6711	9140	+					gyrA		CSAC_RS00030	2430		old_locus_tag=Csac_0006
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	6711	9140	+	WP_011915638.1	WP_011915638.1		DNA gyrase subunit A	gyrA		CSAC_RS00030	2430	809	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	9305	9445	+							CSAC_RS14700	141		
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	9305	9445	+	WP_187147308.1	WP_187147308.1		hypothetical protein			CSAC_RS14700	141	46	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	9442	11349	+							CSAC_RS00035	1908		old_locus_tag=Csac_0007
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	9442	11349	+	WP_011915639.1	WP_011915639.1		beta-propeller domain-containing protein			CSAC_RS00035	1908	635	
gene	protein_coding	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	11759	12724	-							CSAC_RS00040	966		old_locus_tag=Csac_0008
CDS	with_protein	GCF_000016545.1	Primary Assembly	chromosome		NC_009437.1	11759	12724	-	WP_011915640.1	WP_011915640.1		Rpn family recombination-promoting nuclease/putative transposase			CSAC_RS00040	966	321	
